Arrival Rate;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T32 Queue;T32 Queue ConfInt;T32 Service;T32 Service ConfInt;T32 System;T32 System ConfInt;T32 Waiting;T32 Waiting ConfInt;T32 Throughput;T32 Throughput ConfInt;T32 RespTime;T32 RespTime ConfInt;T32 Stability Check;Wasted Servers;Wasted Servers ConfInt;Utilisation;Utilisation ConfInt;Queue Total;Queue Total ConfInt;WaitTime Total;WaitTime Total ConfInt;RespTime Total;RespTime Total ConfInt;FIFO Violations;FIFO Violations ConfInt;Exe. Time;Exe. Time ConfInt;Big Sequence Lenght;Big Sequence Lenght ConfInt;Big Sequence Amount;Big Sequence Amount ConfInt;Max Big Sequence Length;Max Big Sequence Length ConfInt;Small Sequence Lenght;Small Sequence Lenght ConfInt;Small Sequence Amount;Small Sequence Amount ConfInt;Max Small Sequence Length;Max Small Sequence Length ConfInt;Nstar Big;Nstar Big ConfInt;Nstar Small;Nstar Small ConfInt;Idle Counter;Idle Counter ConfInt;Idle Prob;Idle Prob ConfInt;
0.188351;0.010036;[0.0100212, 0.0100509];0.112987;[0.112955, 0.113019];0.123023;[0.122977, 0.12307];0.0888463;[0.0887202, 0.0889724];0.112959;[0.112937, 0.11298];1.0891;[1.08881, 1.08938];0;0.0155405;[0.0155239, 0.0155571];0.0752353;[0.0752069, 0.0752638];0.0907758;[0.0907307, 0.0908209];0.206431;[0.20623, 0.206633];0.0752812;[0.0752616, 0.0753008];1.20582;[1.2055, 1.20614];0;29.4795;[29.4786, 29.4804];0.0787662;[0.0787375, 0.0787949];0.0255765;[0.0255493, 0.0256037];0.135871;[0.13574, 0.136002];1.13578;[1.13552, 1.13603];41727.7;[39071.5, 44384];5.15;[5.02308, 5.27692];1.09075;[1.09067, 1.09083];183323;[183290, 183357];7.65;[7.56999, 7.73001];1.12989;[1.12982, 1.12996];265547;[265512, 265582];7.7;[7.59491, 7.80509];1.00879;[1.00877, 1.00882];1.00994;[1.00992, 1.00996];409249;[409214, 409285];0.818408;[0.818364, 0.818451];
0.376701;0.0490916;[0.0490241, 0.0491592];0.226233;[0.226161, 0.226306];0.275325;[0.275185, 0.275465];0.217118;[0.216835, 0.217401];0.226104;[0.226065, 0.226144];1.21769;[1.21728, 1.21809];0;0.0689431;[0.0688863, 0.0689999];0.150785;[0.150735, 0.150834];0.219728;[0.219622, 0.219834];0.457673;[0.457329, 0.458017];0.150638;[0.150608, 0.150667];1.45865;[1.45816, 1.45913];0;26.9487;[26.947, 26.9503];0.157854;[0.157804, 0.157905];0.118035;[0.117923, 0.118147];0.313302;[0.313032, 0.313572];1.31403;[1.31362, 1.31444];162661;[152350, 172971];4.25;[4.11565, 4.38435];1.22114;[1.22101, 1.22127];163717;[163692, 163742];11.7;[11.5646, 11.8354];1.30607;[1.30592, 1.30622];229757;[229728, 229786];11.3;[11.2009, 11.3991];1.03692;[1.03687, 1.03698];1.04712;[1.04705, 1.0472];325376;[325330, 325422];0.650907;[0.650822, 0.650992];
0.565052;0.136193;[0.136041, 0.136345];0.339008;[0.338934, 0.339082];0.475201;[0.474974, 0.475427];0.40181;[0.401383, 0.402236];0.338947;[0.338899, 0.338994];1.40199;[1.4015, 1.40248];0;0.171993;[0.17186, 0.172126];0.225918;[0.225842, 0.225994];0.397911;[0.397701, 0.39812];0.76151;[0.76095, 0.76207];0.225857;[0.225809, 0.225906];1.76178;[1.7611, 1.76245];0;24.4316;[24.4292, 24.4341];0.236512;[0.236436, 0.236588];0.308185;[0.307928, 0.308443];0.545648;[0.545222, 0.546075];1.54586;[1.54533, 1.5464];350137;[327893, 372381];5.3;[5.16463, 5.43537];1.40459;[1.40433, 1.40485];142350;[142320, 142380];16.25;[16.0356, 16.4644];1.54942;[1.54914, 1.5497];193658;[193619, 193698];15.45;[15.2609, 15.6391];1.08876;[1.08867, 1.08886];1.1262;[1.12607, 1.12632];250455;[250389, 250521];0.500868;[0.500787, 0.500948];
0.753403;0.302263;[0.301936, 0.30259];0.451961;[0.451837, 0.452085];0.754224;[0.753774, 0.754675];0.668673;[0.668016, 0.669331];0.452031;[0.451946, 0.452117];1.66852;[1.66785, 1.66919];0;0.344053;[0.343778, 0.344327];0.301139;[0.301045, 0.301234];0.645192;[0.644823, 0.645562];1.14239;[1.1416, 1.14318];0.301168;[0.301102, 0.301234];2.14229;[2.14141, 2.14317];0;21.9116;[21.9085, 21.9146];0.315263;[0.315167, 0.315359];0.646316;[0.645744, 0.646889];0.858089;[0.857427, 0.85875];1.85796;[1.85723, 1.85868];588976;[551526, 626427];4.9;[4.74074, 5.05926];1.66612;[1.66565, 1.66659];119996;[119958, 120033];19.5;[19.3108, 19.6892];1.89807;[1.89751, 1.89862];158095;[158052, 158139];20.8;[20.6237, 20.9763];1.1744;[1.17425, 1.17454];1.27361;[1.27336, 1.27386];184776;[184704, 184847];0.369565;[0.369456, 0.369674];
0.941753;0.586349;[0.585739, 0.586959];0.565035;[0.564897, 0.565173];1.15138;[1.15064, 1.15213];1.03786;[1.03671, 1.03901];0.564964;[0.564876, 0.565052];2.03798;[2.03677, 2.0392];0;0.624376;[0.623591, 0.625162];0.376759;[0.376629, 0.376889];1.00114;[1.00022, 1.00205];1.65743;[1.65562, 1.65925];0.376708;[0.376593, 0.376822];2.65757;[2.65568, 2.65947];0;19.3787;[19.3745, 19.3828];0.394416;[0.394287, 0.394546];1.21073;[1.20935, 1.2121];1.28572;[1.28431, 1.28712];2.28584;[2.28436, 2.28733];863820;[808939, 918702];5.55;[5.43725, 5.66275];2.04601;[2.04526, 2.04675];97761.8;[97738.6, 97785];21.55;[21.3339, 21.7661];2.41268;[2.41204, 2.41332];124335;[124295, 124376];23.85;[23.6208, 24.0792];1.31911;[1.3187, 1.31952];1.53596;[1.53552, 1.53639];129069;[129013, 129126];0.258161;[0.258042, 0.25828];
1.1301;1.054;[1.05289, 1.05511];0.677438;[0.677226, 0.67765];1.73144;[1.73012, 1.73276];1.55535;[1.55377, 1.55693];0.677662;[0.677524, 0.6778];2.55502;[2.5534, 2.55663];0;1.08023;[1.07911, 1.08135];0.451939;[0.451787, 0.45209];1.53217;[1.5309, 1.53344];2.39086;[2.38869, 2.39303];0.451812;[0.451679, 0.451946];3.39114;[3.38889, 3.39339];0;16.8605;[16.8557, 16.8654];0.473109;[0.472958, 0.47326];2.13423;[2.13205, 2.13641];1.88957;[1.88781, 1.89132];2.88948;[2.88766, 2.8913];1.15546e+06;[1.08207e+06, 1.22885e+06];5.35;[5.23834, 5.46166];2.6092;[2.60799, 2.61042];76656.2;[76624.1, 76688.4];23.25;[23.0473, 23.4527];3.19224;[3.1911, 3.19338];93975.4;[93938, 94012.9];28.55;[28.3151, 28.7849];1.57518;[1.57449, 1.57588];2.00673;[2.00589, 2.00757];84219.9;[84168.5, 84271.2];0.168369;[0.168237, 0.1685];
1.31845;1.86036;[1.85794, 1.86278];0.790759;[0.790495, 0.791022];2.65112;[2.64843, 2.6538];2.35264;[2.34971, 2.35558];0.79075;[0.79056, 0.79094];3.35265;[3.3497, 3.3556];0;1.85743;[1.85508, 1.85978];0.527127;[0.526974, 0.527279];2.38456;[2.38206, 2.38706];3.52303;[3.51881, 3.52725];0.527223;[0.527147, 0.527298];4.52285;[4.51846, 4.52723];0;14.3412;[14.3363, 14.3461];0.551838;[0.551686, 0.55199];3.71779;[3.71306, 3.72253];2.82083;[2.8174, 2.82425];3.82076;[3.81725, 3.82426];1.45244e+06;[1.36014e+06, 1.54474e+06];5.25;[5.09084, 5.40916];3.47675;[3.4747, 3.4788];57530;[57496.6, 57563.4];24.35;[24.113, 24.587];4.43965;[4.4368, 4.4425];67571.4;[67529.3, 67613.6];31.6;[31.4506, 31.7494];2.07804;[2.07671, 2.07937];2.90975;[2.90747, 2.91202];49480.7;[49429, 49532.3];0.0989517;[0.098842, 0.0990614];
1.50681;3.53864;[3.53066, 3.54662];0.903774;[0.903556, 0.903992];4.44241;[4.43421, 4.45062];3.91539;[3.90695, 3.92383];0.903763;[0.90357, 0.903955];4.9154;[4.90695, 4.92386];0;3.34673;[3.34007, 3.35339];0.602582;[0.602355, 0.602809];3.94931;[3.94242, 3.9562];5.55487;[5.54452, 5.56521];0.602476;[0.602331, 0.60262];6.55504;[6.54451, 6.56558];0;11.8136;[11.8063, 11.8209];0.630825;[0.630596, 0.631054];6.88537;[6.8708, 6.89995];4.57116;[4.56198, 4.58034];5.57123;[5.56197, 5.5805];1.73298e+06;[1.62277e+06, 1.84319e+06];5.6;[5.44657, 5.75343];4.84599;[4.8422, 4.84977];41271.3;[41241.2, 41301.5];25.4;[25.2351, 25.5649];6.49357;[6.48852, 6.49863];46202.6;[46165.4, 46239.7];35.85;[35.6402, 36.0598];3.22529;[3.2206, 3.22998];4.90152;[4.89446, 4.90858];24656.2;[24611.7, 24700.7];0.0493922;[0.0492962, 0.0494882];
1.69516;8.69086;[8.65939, 8.72234];1.01667;[1.01632, 1.01703];9.70754;[9.67571, 9.73937];8.54536;[8.51476, 8.57595];1.01702;[1.0168, 1.01724];9.54502;[9.51432, 9.57572];0;7.2831;[7.26005, 7.30614];0.677985;[0.677762, 0.678207];7.96108;[7.93782, 7.98435];10.7448;[10.7126, 10.7771];0.677797;[0.677649, 0.677945];11.7451;[11.7128, 11.7774];0;9.28781;[9.28069, 9.29494];0.709756;[0.709533, 0.709978];15.974;[15.9195, 16.0284];9.42498;[9.3937, 9.45626];10.4249;[10.3935, 10.4563];1.97925e+06;[1.85353e+06, 2.10497e+06];5.8;[5.6073, 5.9927];6.9676;[6.96198, 6.97323];28699.8;[28677.7, 28722];25.95;[25.7485, 26.1515];9.86604;[9.85654, 9.87553];30413.2;[30383.4, 30443.1];40.1;[39.8564, 40.3436];6.83475;[6.8147, 6.85481];10.8665;[10.8357, 10.8973];8776.55;[8751.8, 8801.3];0.0175231;[0.0174747, 0.0175716];
1.71399;9.93351;[9.89134, 9.97567];1.02766;[1.02734, 1.02797];10.9612;[10.9187, 11.0036];9.66223;[9.62162, 9.70284];1.02806;[1.02781, 1.02832];10.6618;[10.6212, 10.7024];0;8.17515;[8.14521, 8.20509];0.686178;[0.685965, 0.68639];8.86133;[8.83117, 8.89148];11.9226;[11.8795, 11.9656];0.685679;[0.685533, 0.685824];12.9233;[12.8801, 12.9665];0;9.01465;[9.00784, 9.02146];0.718292;[0.718079, 0.718505];18.1087;[18.0366, 18.1807];10.5666;[10.525, 10.6082];11.5666;[11.525, 11.6083];2.00057e+06;[1.87353e+06, 2.12761e+06];5.5;[5.36285, 5.63715];7.25334;[7.24646, 7.26022];27582.5;[27557.5, 27607.5];25.45;[25.2963, 25.6037];10.3288;[10.3182, 10.3394];29041.8;[29012, 29071.6];41.2;[40.7558, 41.6442];7.70644;[7.68063, 7.73226];12.2516;[12.2137, 12.2894];7513;[7487.11, 7538.89];0.0150577;[0.0150076, 0.0151077];
