Arrival Rate;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T32 Queue;T32 Queue ConfInt;T32 Service;T32 Service ConfInt;T32 System;T32 System ConfInt;T32 Waiting;T32 Waiting ConfInt;T32 Throughput;T32 Throughput ConfInt;T32 RespTime;T32 RespTime ConfInt;T32 Stability Check;Wasted Servers;Wasted Servers ConfInt;Utilisation;Utilisation ConfInt;Queue Total;Queue Total ConfInt;WaitTime Total;WaitTime Total ConfInt;RespTime Total;RespTime Total ConfInt;FIFO Violations;FIFO Violations ConfInt;Exe. Time;Exe. Time ConfInt;Big Sequence Lenght;Big Sequence Lenght ConfInt;Big Sequence Amount;Big Sequence Amount ConfInt;Max Big Sequence Length;Max Big Sequence Length ConfInt;Small Sequence Lenght;Small Sequence Lenght ConfInt;Small Sequence Amount;Small Sequence Amount ConfInt;Max Small Sequence Length;Max Small Sequence Length ConfInt;Nstar Big;Nstar Big ConfInt;Nstar Small;Nstar Small ConfInt;Idle Counter;Idle Counter ConfInt;Idle Prob;Idle Prob ConfInt;
0.182384;0.0093557;[0.00934058, 0.00937082];0.109408;[0.109378, 0.109438];0.118764;[0.118718, 0.118809];0.085526;[0.0853924, 0.0856595];0.109389;[0.109371, 0.109408];1.0857;[1.08541, 1.08598];0;0.0145162;[0.0145009, 0.0145315];0.0728596;[0.0728325, 0.0728867];0.0873758;[0.0873334, 0.0874183];0.199106;[0.198921, 0.199292];0.0729062;[0.0728896, 0.0729228];1.19847;[1.19813, 1.1988];0;29.5591;[29.5582, 29.56];0.0762786;[0.0762512, 0.0763061];0.0238719;[0.0238452, 0.0238986];0.130951;[0.130816, 0.131086];1.1308;[1.13054, 1.13105];39142.4;[36654.2, 41630.5];5.3;[5.24952, 5.35048];1.08735;[1.08727, 1.08743];183902;[183875, 183930];7.65;[7.55604, 7.74396];1.12527;[1.1252, 1.12534];266632;[266605, 266659];7.55;[7.46136, 7.63864];1.0082;[1.00818, 1.00822];1.00928;[1.00926, 1.0093];412007;[411973, 412041];0.82394;[0.823895, 0.823985];
0.364769;0.0453564;[0.0453001, 0.0454127];0.219057;[0.218986, 0.219127];0.264413;[0.264286, 0.26454];0.207143;[0.2069, 0.207386];0.218961;[0.218924, 0.218997];1.20758;[1.20722, 1.20794];0;0.0642448;[0.0641869, 0.0643026];0.145977;[0.145929, 0.146025];0.210222;[0.210116, 0.210328];0.440383;[0.440016, 0.44075];0.145883;[0.145851, 0.145916];1.44103;[1.44053, 1.44152];0;27.1097;[27.1081, 27.1112];0.152823;[0.152774, 0.152871];0.109601;[0.109499, 0.109704];0.300404;[0.300146, 0.300662];1.30092;[1.30053, 1.30132];152993;[143308, 162678];4.85;[4.73834, 4.96166];1.21138;[1.21124, 1.21153];165039;[165008, 165071];10.95;[10.832, 11.068];1.29341;[1.29323, 1.29359];232002;[231963, 232041];11;[10.8845, 11.1155];1.03451;[1.03446, 1.03456];1.04381;[1.04374, 1.04388];330457;[330406, 330509];0.661082;[0.661005, 0.66116];
0.547153;0.124104;[0.123959, 0.12425];0.328276;[0.328198, 0.328354];0.45238;[0.452156, 0.452603];0.378119;[0.377688, 0.37855];0.328214;[0.328162, 0.328265];1.37831;[1.3778, 1.37881];0;0.160251;[0.160123, 0.160379];0.218862;[0.218774, 0.21895];0.379113;[0.378897, 0.379329];0.732687;[0.732136, 0.733238];0.218717;[0.218674, 0.218759];1.73335;[1.73262, 1.73408];0;24.6681;[24.6653, 24.6709];0.229121;[0.229033, 0.229208];0.284355;[0.284099, 0.284612];0.51991;[0.519466, 0.520353];1.52029;[1.51972, 1.52086];329559;[308659, 350459];5.25;[5.16556, 5.33444];1.38354;[1.38326, 1.38382];144520;[144488, 144553];15.1;[14.9407, 15.2593];1.52227;[1.52197, 1.52257];197108;[197064, 197152];14.6;[14.4351, 14.7649];1.08325;[1.08315, 1.08335];1.11632;[1.11617, 1.11647];257132;[257059, 257206];0.514217;[0.514136, 0.514297];
0.729537;0.271144;[0.27093, 0.271358];0.437803;[0.437679, 0.437928];0.708948;[0.708609, 0.709286];0.619455;[0.61902, 0.619889];0.437713;[0.437624, 0.437801];1.61966;[1.61915, 1.62018];0;0.321715;[0.32144, 0.321991];0.291997;[0.291914, 0.292081];0.613713;[0.613354, 0.614072];1.10266;[1.10182, 1.10349];0.291763;[0.291701, 0.291825];2.10346;[2.10254, 2.10438];0;22.2183;[22.2156, 22.221];0.305679;[0.305594, 0.305763];0.59286;[0.59239, 0.593329];0.812716;[0.812163, 0.813268];1.81316;[1.81253, 1.8138];555863;[520541, 591184];5;[4.86966, 5.13034];1.62548;[1.62503, 1.62593];123030;[122990, 123069];17.4;[17.2547, 17.5453];1.84592;[1.84546, 1.84639];162531;[162487, 162575];19.05;[18.8546, 19.2454];1.16509;[1.16489, 1.16529];1.25046;[1.25026, 1.25066];192248;[192174, 192323];0.384472;[0.384362, 0.384582];
0.911922;0.519846;[0.519265, 0.520428];0.546944;[0.546774, 0.547114];1.06679;[1.06604, 1.06754];0.950041;[0.949012, 0.95107];0.547182;[0.547084, 0.547279];1.94961;[1.94852, 1.95069];0;0.582001;[0.581327, 0.582676];0.364815;[0.364702, 0.364927];0.946816;[0.946029, 0.947603];1.59609;[1.59443, 1.59776];0.364638;[0.364555, 0.364721];2.59658;[2.59477, 2.59839];0;19.779;[19.7753, 19.7827];0.381907;[0.381792, 0.382021];1.10185;[1.10063, 1.10307];1.2084;[1.20714, 1.20966];2.20833;[2.20697, 2.20969];817196;[765290, 869102];5.05;[4.92213, 5.17787];1.96718;[1.96641, 1.96796];101644;[101607, 101681];20.45;[20.2485, 20.6515];2.31217;[2.31136, 2.31298];129770;[129725, 129816];22.6;[22.4351, 22.7649];1.3032;[1.30279, 1.30361];1.48564;[1.48519, 1.48609];136914;[136838, 136990];0.273814;[0.273679, 0.273948];
1.09431;0.936697;[0.935706, 0.937689];0.656842;[0.656646, 0.657039];1.59354;[1.59235, 1.59473];1.42618;[1.42483, 1.42753];0.656784;[0.656674, 0.656894];2.42626;[2.42482, 2.4277];0;1.00618;[1.00508, 1.00728];0.437986;[0.437908, 0.438064];1.44417;[1.44299, 1.44535];2.2991;[2.29648, 2.30171];0.437644;[0.437548, 0.437741];3.29988;[3.29724, 3.30252];0;17.3276;[17.3252, 17.3301];0.458512;[0.458436, 0.458589];1.94288;[1.94083, 1.94493];1.77524;[1.77347, 1.77701];2.7756;[2.77377, 2.77744];1.09598e+06;[1.02641e+06, 1.16556e+06];5.5;[5.38187, 5.61813];2.46248;[2.4617, 2.46326];81195.9;[81163.5, 81228.2];21.3;[21.1121, 21.4879];3.0101;[3.00925, 3.01094];99684.1;[99656.4, 99711.9];27.5;[27.2117, 27.7883];1.54892;[1.54827, 1.54958];1.90942;[1.90878, 1.91006];91170.2;[91132.2, 91208.3];0.182212;[0.182122, 0.182302];
1.27669;1.66707;[1.66418, 1.66995];0.765097;[0.764872, 0.765322];2.43216;[2.42905, 2.43527];2.17798;[2.17425, 2.18171];0.765416;[0.765281, 0.765551];3.17757;[3.17387, 3.18127];0;1.71374;[1.71132, 1.71616];0.510202;[0.510051, 0.510352];2.22394;[2.22137, 2.22651];3.35737;[3.35287, 3.36188];0.510438;[0.510304, 0.510572];4.35691;[4.35227, 4.36156];0;14.9084;[14.9036, 14.9133];0.534111;[0.53396, 0.534262];3.38081;[3.37554, 3.38607];2.64982;[2.64583, 2.65382];3.64939;[3.64535, 3.65342];1.37894e+06;[1.29135e+06, 1.46654e+06];5.15;[5.02308, 5.27692];3.19758;[3.19606, 3.19909];62559.7;[62531.9, 62587.5];22.6;[22.4177, 22.7823];4.06671;[4.06461, 4.06881];73761.4;[73721.6, 73801.3];29.6;[29.421, 29.779];2.0224;[2.02108, 2.02371];2.70909;[2.70716, 2.71102];55425.7;[55380.4, 55471];0.110851;[0.110754, 0.110948];
1.45907;3.24552;[3.23762, 3.25342];0.874667;[0.874479, 0.874855];4.12019;[4.1121, 4.12827];3.71067;[3.70198, 3.71936];0.874631;[0.87447, 0.874792];4.71071;[4.70205, 4.71937];0;3.08826;[3.082, 3.09452];0.58339;[0.58312, 0.58366];3.67165;[3.66512, 3.67818];5.29245;[5.2826, 5.30229];0.583507;[0.583372, 0.583643];6.29225;[6.28218, 6.30231];0;12.4568;[12.4481, 12.4655];0.610724;[0.610452, 0.610996];6.33378;[6.31965, 6.34791];4.34365;[4.3345, 4.35281];5.3436;[5.33437, 5.35282];1.65256e+06;[1.54761e+06, 1.7575e+06];5.5;[5.36735, 5.63265];4.31574;[4.31228, 4.31921];46363.8;[46328.9, 46398.7];23.95;[23.723, 24.177];5.75888;[5.75372, 5.76404];52081.6;[52033.7, 52129.5];33.65;[33.3795, 33.9205];3.10198;[3.09766, 3.10631];4.49875;[4.49134, 4.50615];28813.2;[28754.8, 28871.5];0.0575287;[0.0574001, 0.0576573];
1.64146;8.26493;[8.2345, 8.29535];0.984494;[0.98416, 0.984828];9.24942;[9.21866, 9.28018];8.3895;[8.35952, 8.41949];0.985122;[0.984897, 0.985347];9.38887;[9.35887, 9.41886];0;6.84422;[6.82231, 6.86612];0.656731;[0.656574, 0.656889];7.50095;[7.47889, 7.52301];10.4305;[10.3981, 10.463];0.656158;[0.656057, 0.65626];11.4314;[11.3989, 11.4639];0;10.0001;[9.99504, 10.0052];0.687497;[0.687339, 0.687655];15.1091;[15.0569, 15.1614];9.20546;[9.17453, 9.23638];10.2054;[10.1745, 10.2364];1.88998e+06;[1.7699e+06, 2.01005e+06];5.5;[5.33847, 5.66153];5.98736;[5.9835, 5.99121];33386.4;[33364.2, 33408.6];23.7;[23.4661, 23.9339];8.46088;[8.45369, 8.46806];35471.8;[35442.6, 35501.1];36.95;[36.6474, 37.2526];6.54839;[6.52989, 6.56688];10.0499;[10.0232, 10.0767];10786.8;[10756, 10817.6];0.0215304;[0.0214683, 0.0215925];
1.6597;9.41158;[9.36229, 9.46086];0.995437;[0.995244, 0.99563];10.407;[10.3575, 10.4565];9.4538;[9.40441, 9.50319];0.995529;[0.995368, 0.995689];10.4537;[10.4043, 10.5031];0;7.67152;[7.63669, 7.70635];0.664078;[0.663853, 0.664303];8.3356;[8.30055, 8.37065];11.5548;[11.5037, 11.606];0.663898;[0.663759, 0.664038];12.5551;[12.5038, 12.6064];0;9.75406;[9.74689, 9.76124];0.695186;[0.694961, 0.69541];17.0831;[16.9991, 17.1671];10.2944;[10.2443, 10.3445];11.2944;[11.2443, 11.3446];1.91166e+06;[1.79018e+06, 2.03315e+06];5.65;[5.50947, 5.79053];6.19854;[6.19357, 6.20352];32273;[32249.8, 32296.2];23.8;[23.5753, 24.0247];8.80237;[8.79492, 8.80982];34079.3;[34048.6, 34110];37.6;[37.258, 37.942];7.34184;[7.31258, 7.3711];11.2812;[11.2382, 11.3242];9384.05;[9354.34, 9413.76];0.0188002;[0.0187446, 0.0188558];
1.67794;10.5743;[10.5169, 10.6317];1.00704;[1.00674, 1.00734];11.5813;[11.5236, 11.639];10.5029;[10.4462, 10.5596];1.00678;[1.0066, 1.00696];11.5032;[11.4464, 11.5599];0;8.46449;[8.42278, 8.5062];0.670279;[0.66998, 0.670579];9.13477;[9.09276, 9.17678];12.6247;[12.5658, 12.6836];0.670404;[0.670204, 0.670604];13.6245;[13.5655, 13.6836];0;9.54402;[9.53434, 9.5537];0.701749;[0.701447, 0.702052];19.0388;[18.9397, 19.1378];11.351;[11.2934, 11.4087];12.3511;[12.2934, 12.4089];1.93179e+06;[1.80902e+06, 2.05457e+06];5.35;[5.21838, 5.48162];6.39154;[6.38326, 6.39981];31272.9;[31236.7, 31309.1];23.7;[23.529, 23.871];9.13768;[9.12611, 9.14925];32850.8;[32806.7, 32895];37.75;[37.4919, 38.0081];8.14374;[8.10406, 8.18342];12.5676;[12.5101, 12.6251];8142.5;[8099.84, 8185.16];0.0162228;[0.0161318, 0.0163138];
1.69617;12.5086;[12.4326, 12.5847];1.01752;[1.01726, 1.01778];13.5262;[13.4499, 13.6025];12.2913;[12.2163, 12.3663];1.0177;[1.0175, 1.01789];13.2911;[13.2161, 13.3662];0;9.81331;[9.75962, 9.867];0.678031;[0.677808, 0.678255];10.4913;[10.4374, 10.5453];14.4784;[14.401, 14.5558];0.677754;[0.677615, 0.677894];15.4788;[15.4012, 15.5564];0;9.28548;[9.27829, 9.29266];0.709829;[0.709604, 0.710053];22.3219;[22.1922, 22.4516];13.1656;[13.0896, 13.2416];14.1656;[14.0895, 14.2418];1.95073e+06;[1.82688e+06, 2.07458e+06];5.75;[5.55027, 5.94973];6.61588;[6.60896, 6.6228];30213.5;[30185, 30242];23.8;[23.5922, 24.0078];9.50867;[9.4992, 9.51815];31565.7;[31532.7, 31598.7];38.75;[38.4406, 39.0594];9.46339;[9.41479, 9.512];14.5814;[14.5104, 14.6523];6884.1;[6851.94, 6916.26];0.0137168;[0.0136569, 0.0137767];
1.71441;15.1476;[15.0338, 15.2615];1.02956;[1.02925, 1.02986];16.1772;[16.063, 16.2913];14.7264;[14.616, 14.8368];1.0286;[1.02842, 1.02877];15.7273;[15.6169, 15.8378];0;11.6282;[11.5484, 11.7079];0.685543;[0.685321, 0.685765];12.3137;[12.2337, 12.3937];16.952;[16.8374, 17.0666];0.68591;[0.685795, 0.686025];17.9515;[17.8368, 18.0661];0;9.03306;[9.02606, 9.04006];0.717717;[0.717498, 0.717936];26.7758;[26.5822, 26.9694];15.6168;[15.5047, 15.7289];16.6171;[16.505, 16.7293];1.97187e+06;[1.84657e+06, 2.09717e+06];5.55;[5.39627, 5.70373];6.85563;[6.84989, 6.86136];29179.1;[29157.2, 29201];24.05;[23.8025, 24.2975];9.91622;[9.90822, 9.92423];30251.5;[30225.5, 30277.6];39.55;[39.2078, 39.8922];11.2298;[11.1589, 11.3008];17.3181;[17.2154, 17.4207];5634.45;[5607.45, 5661.45];0.0112977;[0.0112399, 0.0113554];
1.73265;18.2961;[18.1547, 18.4376];1.03949;[1.03916, 1.03981];19.3356;[19.1939, 19.4774];17.5961;[17.461, 17.7312];1.03975;[1.03951, 1.03999];18.5958;[18.4607, 18.731];0;13.7648;[13.6671, 13.8625];0.692812;[0.692534, 0.69309];14.4576;[14.3596, 14.5556];19.8729;[19.734, 20.0118];0.692599;[0.692417, 0.692781];20.8732;[20.7342, 21.0123];0;8.79053;[8.78171, 8.79935];0.725296;[0.72502, 0.725572];32.0609;[31.8218, 32.3];18.5064;[18.3697, 18.643];19.5063;[19.3696, 19.643];1.99123e+06;[1.86472e+06, 2.11773e+06];5.3;[5.18394, 5.41606];7.07428;[7.06703, 7.08153];28259.2;[28234.3, 28284.2];24.6;[24.4048, 24.7952];10.2991;[10.2895, 10.3088];29140.3;[29111.3, 29169.3];38.4;[38.1732, 38.6268];13.3636;[13.2708, 13.4565];20.6026;[20.467, 20.7382];4620.15;[4593.08, 4647.22];0.00925273;[0.00919003, 0.00931542];
1.75089;22.506;[22.3836, 22.6284];1.05055;[1.05024, 1.05086];23.5566;[23.4339, 23.6793];21.4263;[21.3098, 21.5427];1.05039;[1.05019, 1.0506];22.4264;[22.31, 22.5429];0;16.6061;[16.5237, 16.6884];0.700059;[0.699872, 0.700247];17.3061;[17.2236, 17.3886];23.725;[23.6086, 23.8413];0.699926;[0.699769, 0.700083];24.7252;[24.6087, 24.8416];0;8.54755;[8.54167, 8.55342];0.732889;[0.732706, 0.733073];39.1121;[38.9075, 39.3167];22.3455;[22.2291, 22.4619];23.3456;[23.2292, 23.4621];2.00922e+06;[1.88157e+06, 2.13687e+06];5.2;[5.06241, 5.33759];7.30546;[7.30098, 7.30994];27369.3;[27355.8, 27382.9];24.3;[24.1438, 24.4562];10.6932;[10.6868, 10.6996];28061.1;[28043.2, 28079];39.4;[39.0857, 39.7143];16.2229;[16.1469, 16.2989];24.9954;[24.882, 25.1089];3617.05;[3598.15, 3635.95];0.0072227;[0.00718424, 0.00726116];
1.76913;32.0684;[31.7621, 32.3748];1.06214;[1.06188, 1.06241];33.1306;[32.8239, 33.4372];30.1955;[29.9041, 30.4868];1.06211;[1.06187, 1.06234];31.1955;[30.9041, 31.4869];0;23.0346;[22.8227, 23.2465];0.708064;[0.707841, 0.708287];23.7427;[23.5305, 23.9548];32.5598;[32.262, 32.8576];0.707428;[0.707308, 0.707548];33.5607;[33.2628, 33.8587];0;8.2798;[8.2727, 8.2869];0.741256;[0.741034, 0.741478];55.103;[54.5849, 55.6212];31.1407;[30.8467, 31.4347];32.1411;[31.847, 32.4351];2.02964e+06;[1.90073e+06, 2.15855e+06];5.65;[5.52308, 5.77692];7.5704;[7.56431, 7.57649];26405.4;[26385.3, 26425.5];23.55;[23.3577, 23.7423];11.1591;[11.149, 11.1691];26895;[26870.7, 26919.4];39.15;[38.8934, 39.4066];22.6058;[22.4035, 22.8081];34.662;[34.3688, 34.9551];2548.55;[2528.73, 2568.37];0.00504787;[0.0050093, 0.00508644];
1.78737;47.4932;[46.8093, 48.1771];1.07274;[1.07253, 1.07294];48.5659;[47.8818, 49.25];44.2881;[43.6483, 44.9279];1.07243;[1.07229, 1.07257];45.2884;[44.6485, 45.9282];0;33.3974;[32.9369, 33.8579];0.714772;[0.714616, 0.714929];34.1122;[33.6515, 34.5728];46.7359;[46.0925, 47.3794];0.714586;[0.714451, 0.714721];47.7362;[47.0927, 48.3798];0;8.05455;[8.04952, 8.05958];0.748295;[0.748138, 0.748453];80.8906;[79.7462, 82.0349];45.2669;[44.6256, 45.9082];46.2672;[45.6258, 46.9086];2.04615e+06;[1.91615e+06, 2.17615e+06];5.65;[5.48559, 5.81441];7.81439;[7.80874, 7.82004];25586.5;[25570, 25603.1];23.7;[23.5326, 23.8674];11.5872;[11.5787, 11.5956];25896.8;[25876.7, 25917];40.7;[40.348, 41.052];32.9982;[32.5555, 33.4409];50.317;[49.6632, 50.9708];1631.45;[1611.71, 1651.19];0.00326623;[0.00322849, 0.00330398];
