Arrival Rate;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T32 Queue;T32 Queue ConfInt;T32 Service;T32 Service ConfInt;T32 System;T32 System ConfInt;T32 Waiting;T32 Waiting ConfInt;T32 Throughput;T32 Throughput ConfInt;T32 RespTime;T32 RespTime ConfInt;T32 Stability Check;Wasted Servers;Wasted Servers ConfInt;Utilisation;Utilisation ConfInt;Queue Total;Queue Total ConfInt;WaitTime Total;WaitTime Total ConfInt;RespTime Total;RespTime Total ConfInt;FIFO Violations;FIFO Violations ConfInt;Exe. Time;Exe. Time ConfInt;Big Sequence Lenght;Big Sequence Lenght ConfInt;Big Sequence Amount;Big Sequence Amount ConfInt;Max Big Sequence Length;Max Big Sequence Length ConfInt;Small Sequence Lenght;Small Sequence Lenght ConfInt;Small Sequence Amount;Small Sequence Amount ConfInt;Max Small Sequence Length;Max Small Sequence Length ConfInt;Nstar Big;Nstar Big ConfInt;Nstar Small;Nstar Small ConfInt;Idle Counter;Idle Counter ConfInt;Idle Prob;Idle Prob ConfInt;
0.13046;0.00501898;[0.00501294, 0.00502503];0.0782779;[0.0782621, 0.0782937];0.0832969;[0.083275, 0.0833188];0.0641263;[0.0640481, 0.0642044];0.0782674;[0.0782545, 0.0782802];1.06426;[1.06411, 1.06441];0;0.00735921;[0.00735125, 0.00736716];0.0522377;[0.0522231, 0.0522523];0.0595969;[0.0595744, 0.0596194];0.140906;[0.140762, 0.14105];0.0522277;[0.0522178, 0.0522376];1.1411;[1.14085, 1.14135];0;30.2501;[30.2497, 30.2506];0.0546839;[0.0546694, 0.0546984];0.0123782;[0.012367, 0.0123894];0.0948556;[0.094771, 0.0949402];1.09501;[1.09485, 1.09517];0;[0, 0];5;[4.84421, 5.15579];1.05481;[1.05477, 1.05485];189715;[189687, 189743];5.6;[5.53577, 5.66423];1.08171;[1.08164, 1.08178];277233;[277205, 277261];6.15;[6.09746, 6.20254];1.00452;[1.00451, 1.00454];1.00502;[1.00501, 1.00504];436212;[436190, 436234];0.87248;[0.872459, 0.872501];
0.260921;0.0244022;[0.0243767, 0.0244278];0.156536;[0.156483, 0.15659];0.180939;[0.18086, 0.181017];0.155873;[0.155736, 0.15601];0.15655;[0.156516, 0.156585];1.15578;[1.15552, 1.15604];0;0.0322432;[0.0322133, 0.0322732];0.104364;[0.104333, 0.104394];0.136607;[0.136547, 0.136668];0.309;[0.308711, 0.309289];0.104347;[0.104333, 0.104361];1.30916;[1.30871, 1.30962];0;28.5038;[28.5028, 28.5048];0.109256;[0.109225, 0.109286];0.0566455;[0.0565948, 0.0566961];0.217117;[0.216942, 0.217292];1.21713;[1.21683, 1.21742];0;[0, 0];4.45;[4.32213, 4.57787];1.11353;[1.11343, 1.11363];179589;[179559, 179618];7.75;[7.625, 7.875];1.17209;[1.17201, 1.17218];255971;[255947, 255996];8.75;[8.65866, 8.84134];1.02065;[1.0206, 1.02069];1.02426;[1.02422, 1.02431];375485;[375444, 375526];0.75094;[0.750884, 0.750997];
0.391381;0.0674451;[0.067374, 0.0675163];0.234855;[0.234816, 0.234894];0.3023;[0.30219, 0.30241];0.287183;[0.286895, 0.287471];0.23485;[0.234817, 0.234882];1.28721;[1.28685, 1.28756];0;0.0813198;[0.0812481, 0.0813914];0.156784;[0.156734, 0.156835];0.238104;[0.237982, 0.238227];0.519388;[0.51895, 0.519825];0.156568;[0.156536, 0.1566];1.52077;[1.52019, 1.52135];0;26.748;[26.7464, 26.7497];0.164124;[0.164072, 0.164175];0.148765;[0.148634, 0.148895];0.380066;[0.379747, 0.380385];1.38063;[1.38021, 1.38105];0;[0, 0];4.8;[4.6381, 4.9619];1.17677;[1.17667, 1.17687];169958;[169933, 169982];9.15;[9.07797, 9.22203];1.27343;[1.2733, 1.27357];235582;[235553, 235611];10.1;[9.99039, 10.2096];1.0543;[1.0542, 1.0544];1.06696;[1.06686, 1.06706];317445;[317403, 317487];0.634868;[0.634801, 0.634935];
0.521841;0.148694;[0.148539, 0.148848];0.313263;[0.313177, 0.313349];0.461957;[0.461717, 0.462197];0.474789;[0.474316, 0.475262];0.313177;[0.313114, 0.313241];1.47506;[1.47445, 1.47567];0;0.164297;[0.164109, 0.164484];0.208684;[0.208629, 0.208738];0.372981;[0.372738, 0.373223];0.787635;[0.786803, 0.788467];0.208593;[0.208562, 0.208624];1.78807;[1.78719, 1.78895];0;25.0089;[25.0071, 25.0106];0.218473;[0.218418, 0.218529];0.31299;[0.312658, 0.313322];0.599859;[0.599254, 0.600464];1.6002;[1.5995, 1.6009];0;[0, 0];5.3;[5.1518, 5.4482];1.24268;[1.24253, 1.24283];160854;[160822, 160886];10.6;[10.4547, 10.7453];1.38778;[1.38758, 1.38798];216252;[216221, 216282];12;[11.9015, 12.0985];1.11589;[1.1157, 1.11608];1.14773;[1.14755, 1.14792];262621;[262552, 262690];0.525095;[0.525005, 0.525186];
0.652302;0.296247;[0.295893, 0.296602];0.391676;[0.39156, 0.391791];0.687923;[0.687453, 0.688393];0.756436;[0.755597, 0.757274];0.391633;[0.391552, 0.391714];1.75654;[1.7557, 1.75739];0;0.300487;[0.300183, 0.300792];0.260674;[0.260594, 0.260755];0.561162;[0.560777, 0.561547];1.1526;[1.1516, 1.1536];0.260701;[0.260645, 0.260758];2.1525;[2.15142, 2.15357];0;23.2667;[23.2641, 23.2694];0.272914;[0.272832, 0.272996];0.596735;[0.596093, 0.597376];0.914761;[0.913872, 0.915651];1.91479;[1.91387, 1.9157];0;[0, 0];4.9;[4.77983, 5.02017];1.31102;[1.31086, 1.31118];152417;[152392, 152442];11.85;[11.7498, 11.9502];1.51875;[1.51849, 1.51902];197648;[197615, 197681];14.15;[14.0011, 14.2989];1.2245;[1.22425, 1.22475];1.29579;[1.29546, 1.29611];210592;[210526, 210658];0.421296;[0.421177, 0.421415];
0.782762;0.563438;[0.562731, 0.564145];0.469906;[0.469794, 0.470018];1.03334;[1.03253, 1.03416];1.19917;[1.19766, 1.20069];0.469856;[0.469776, 0.469936];2.19928;[2.19769, 2.20088];0;0.526752;[0.526158, 0.527346];0.312764;[0.312655, 0.312873];0.839516;[0.838813, 0.840219];1.68387;[1.68215, 1.68558];0.31282;[0.312755, 0.312886];2.68369;[2.68184, 2.68553];0;21.5216;[21.5181, 21.5252];0.327448;[0.327339, 0.327558];1.09019;[1.08891, 1.09147];1.3929;[1.39132, 1.39447];2.39289;[2.39121, 2.39457];0;[0, 0];5.05;[4.89237, 5.20763];1.38108;[1.38086, 1.38129];144699;[144676, 144722];12.15;[11.9971, 12.3029];1.66749;[1.66721, 1.66776];180008;[179972, 180043];16.25;[16.0728, 16.4272];1.41635;[1.41578, 1.41692];1.56485;[1.56412, 1.56557];161827;[161750, 161903];0.323807;[0.323681, 0.323933];
0.913223;1.07984;[1.07795, 1.08172];0.547935;[0.54778, 0.54809];1.62777;[1.62573, 1.62981];1.97107;[1.96771, 1.97443];0.547841;[0.54774, 0.547942];2.97124;[2.96785, 2.97463];0;0.932815;[0.931309, 0.934321];0.365274;[0.365139, 0.36541];1.29809;[1.29645, 1.29973];2.55461;[2.5506, 2.55862];0.365147;[0.365083, 0.365212];3.55496;[3.55073, 3.55919];0;19.7633;[19.7589, 19.7676];0.382397;[0.382261, 0.382533];2.01265;[2.00929, 2.01601];2.20446;[2.20086, 2.20806];3.2047;[3.20099, 3.20841];0;[0, 0];4.85;[4.72795, 4.97205];1.4545;[1.45419, 1.4548];137487;[137458, 137515];12.9;[12.737, 13.063];1.83645;[1.83603, 1.83687];163373;[163341, 163405];17.4;[17.2589, 17.5411];1.78318;[1.78164, 1.78472];2.08524;[2.08343, 2.08706];116088;[116005, 116171];0.232196;[0.232038, 0.232354];
1.04368;2.22753;[2.22308, 2.23197];0.625701;[0.625514, 0.625888];2.85323;[2.8486, 2.85786];3.55935;[3.55252, 3.56618];0.625818;[0.625708, 0.625928];4.55916;[4.55225, 4.56608];0;1.7709;[1.76783, 1.77397];0.417096;[0.416958, 0.417234];2.188;[2.18478, 2.19121];4.24276;[4.2358, 4.24972];0.417389;[0.417286, 0.417492];5.24206;[5.23502, 5.2491];0;18.0272;[18.0228, 18.0316];0.436649;[0.436511, 0.436787];3.99843;[3.99096, 4.0059];3.83279;[3.82592, 3.83965];4.83239;[4.82545, 4.83934];0;[0, 0];4.85;[4.70521, 4.99479];1.52656;[1.52627, 1.52685];131047;[131028, 131066];13.25;[13.1112, 13.3888];2.02845;[2.02798, 2.02892];147871;[147836, 147907];20.1;[19.9486, 20.2514];2.57654;[2.57331, 2.57977];3.24086;[3.23636, 3.24537];74125.5;[74039.8, 74211.2];0.148114;[0.147964, 0.148263];
1.17414;5.95293;[5.92593, 5.97993];0.704675;[0.704424, 0.704925];6.6576;[6.63035, 6.68485];8.45282;[8.41512, 8.49053];0.704234;[0.704096, 0.704371];9.45345;[9.41562, 9.49128];0;4.34042;[4.32175, 4.3591];0.469156;[0.46899, 0.469322];4.80958;[4.79073, 4.82842];9.24402;[9.20565, 9.28239];0.469514;[0.469412, 0.469616];10.2433;[10.2048, 10.2817];0;16.2823;[16.277, 16.2877];0.491177;[0.491009, 0.491345];10.2933;[10.2477, 10.339];8.76931;[8.73135, 8.80728];9.76938;[9.73129, 9.80747];0;[0, 0];5.05;[4.90861, 5.19139];1.59762;[1.59724, 1.598];125191;[125168, 125214];13.6;[13.499, 13.701];2.25058;[2.24987, 2.2513];133297;[133257, 133336];21.65;[21.4461, 21.8539];5.09856;[5.07997, 5.11715];6.99021;[6.96369, 7.01674];35245.9;[35152.2, 35339.7];0.0705732;[0.0703863, 0.0707602];
1.18719;6.81702;[6.79069, 6.84336];0.712414;[0.712195, 0.712632];7.52944;[7.50288, 7.55599];9.57233;[9.53593, 9.60872];0.712148;[0.711997, 0.7123];10.5727;[10.5362, 10.6092];0;4.92207;[4.90447, 4.93967];0.474446;[0.474286, 0.474605];5.39651;[5.37876, 5.41427];10.3679;[10.3319, 10.4039];0.474726;[0.474631, 0.474822];11.3673;[11.3312, 11.4034];0;16.1053;[16.1001, 16.1105];0.496709;[0.496546, 0.496871];11.7391;[11.6952, 11.783];9.89055;[9.85432, 9.92678];10.8905;[10.8542, 10.9269];0;[0, 0];4.95;[4.86136, 5.03864];1.6044;[1.60406, 1.60475];124651;[124629, 124673];13.65;[13.556, 13.744];2.27455;[2.27386, 2.27523];131899;[131861, 131937];22.3;[22.1255, 22.4745];5.67441;[5.65744, 5.69137];7.857;[7.83165, 7.88235];31492.3;[31404.4, 31580.2];0.0631669;[0.0629872, 0.0633466];
