Arrival Rate;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T32 Queue;T32 Queue ConfInt;T32 Service;T32 Service ConfInt;T32 System;T32 System ConfInt;T32 Waiting;T32 Waiting ConfInt;T32 Throughput;T32 Throughput ConfInt;T32 RespTime;T32 RespTime ConfInt;T32 Stability Check;Wasted Servers;Wasted Servers ConfInt;Utilisation;Utilisation ConfInt;Queue Total;Queue Total ConfInt;WaitTime Total;WaitTime Total ConfInt;RespTime Total;RespTime Total ConfInt;FIFO Violations;FIFO Violations ConfInt;Exe. Time;Exe. Time ConfInt;Big Sequence Lenght;Big Sequence Lenght ConfInt;Big Sequence Amount;Big Sequence Amount ConfInt;Max Big Sequence Length;Max Big Sequence Length ConfInt;Small Sequence Lenght;Small Sequence Lenght ConfInt;Small Sequence Amount;Small Sequence Amount ConfInt;Max Small Sequence Length;Max Small Sequence Length ConfInt;Nstar Big;Nstar Big ConfInt;Nstar Small;Nstar Small ConfInt;Idle Counter;Idle Counter ConfInt;Idle Prob;Idle Prob ConfInt;
0.174857;0.00853646;[0.00852437, 0.00854855];0.104913;[0.10488, 0.104946];0.11345;[0.113405, 0.113495];0.0813846;[0.0812711, 0.0814982];0.10489;[0.104868, 0.104912];1.0816;[1.08135, 1.08186];0;0.0132816;[0.0132695, 0.0132937];0.0698568;[0.069833, 0.0698807];0.0831384;[0.0831024, 0.0831744];0.189993;[0.189843, 0.190144];0.0699051;[0.0698896, 0.0699207];1.1893;[1.18897, 1.18964];0;29.6597;[29.6589, 29.6604];0.0731354;[0.0731112, 0.0731596];0.021818;[0.0217961, 0.02184];0.12482;[0.124702, 0.124938];1.12467;[1.12444, 1.12491];35910.3;[33631.5, 38189.2];4.5;[4.34228, 4.65772];1.08307;[1.08298, 1.08315];184627;[184592, 184661];7.2;[7.11051, 7.28949];1.11937;[1.1193, 1.11944];268042;[268011, 268072];7.35;[7.25604, 7.44396];1.00754;[1.00752, 1.00756];1.00848;[1.00845, 1.0085];415524;[415493, 415554];0.830924;[0.830881, 0.830966];
0.349714;0.0408161;[0.0407721, 0.0408601];0.2099;[0.20984, 0.209961];0.250717;[0.250612, 0.250821];0.194497;[0.194289, 0.194704];0.209855;[0.209828, 0.209883];1.19471;[1.19438, 1.19504];0;0.0585686;[0.0585135, 0.0586237];0.139896;[0.139855, 0.139936];0.198464;[0.198369, 0.19856];0.418839;[0.418486, 0.419193];0.139835;[0.139803, 0.139867];1.41928;[1.41879, 1.41976];0;27.3134;[27.3121, 27.3147];0.146455;[0.146415, 0.146496];0.0993848;[0.0992963, 0.0994732];0.284207;[0.283966, 0.284448];1.28451;[1.28415, 1.28487];140735;[131827, 149642];5;[4.89549, 5.10451];1.19903;[1.19891, 1.19915];166753;[166722, 166784];10.8;[10.6669, 10.9331];1.27743;[1.27727, 1.27759];234893;[234848, 234937];10.95;[10.8221, 11.0779];1.03168;[1.03164, 1.03173];1.03966;[1.0396, 1.03971];336884;[336839, 336929];0.674093;[0.674032, 0.674155];
0.524571;0.109926;[0.10982, 0.110031];0.314699;[0.314622, 0.314777];0.424625;[0.424441, 0.424809];0.349358;[0.349021, 0.349695];0.31465;[0.314598, 0.314703];1.34951;[1.34903, 1.34999];0;0.146148;[0.146002, 0.146295];0.209773;[0.209706, 0.20984];0.355921;[0.355708, 0.356134];0.697008;[0.696345, 0.697672];0.209679;[0.209641, 0.209716];1.69746;[1.69663, 1.69828];0;24.9726;[24.9704, 24.9748];0.219607;[0.219539, 0.219675];0.256074;[0.255836, 0.256312];0.488384;[0.487937, 0.48883];1.48866;[1.48805, 1.48926];302137;[282961, 321312];4.8;[4.65807, 4.94193];1.35723;[1.35701, 1.35746];147322;[147299, 147344];13.65;[13.5498, 13.7502];1.48871;[1.4884, 1.48901];201552;[201507, 201596];13.7;[13.6213, 13.7787];1.07707;[1.07698, 1.07716];1.10454;[1.10438, 1.1047];265759;[265681, 265837];0.531502;[0.531406, 0.531598];
0.699428;0.236326;[0.236091, 0.236562];0.419622;[0.41949, 0.419754];0.655948;[0.655581, 0.656316];0.563232;[0.56269, 0.563774];0.419589;[0.4195, 0.419677];1.56331;[1.56269, 1.56394];0;0.293095;[0.292859, 0.293331];0.279747;[0.279661, 0.279834];0.572842;[0.57252, 0.573165];1.04783;[1.04708, 1.04858];0.279714;[0.279659, 0.27977];2.04795;[2.04709, 2.04881];0;22.6285;[22.6256, 22.6313];0.292861;[0.292772, 0.292949];0.529421;[0.528977, 0.529865];0.757067;[0.756491, 0.757642];1.75716;[1.75647, 1.75785];511285;[478825, 543744];5.25;[5.14622, 5.35378];1.5734;[1.57303, 1.57377];127110;[127076, 127145];16.5;[16.3311, 16.6689];1.78092;[1.78043, 1.78142];168455;[168407, 168504];17.5;[17.2895, 17.7105];1.15392;[1.15373, 1.15411];1.22318;[1.22297, 1.22339];202204;[202123, 202286];0.404447;[0.404317, 0.404577];
0.874286;0.450504;[0.449942, 0.451067];0.52446;[0.524311, 0.524609];0.974964;[0.974253, 0.975676];0.858975;[0.85789, 0.86006];0.524469;[0.524356, 0.524582];1.85896;[1.85781, 1.8601];0;0.529507;[0.528853, 0.53016];0.349652;[0.349515, 0.34979];0.879159;[0.878368, 0.87995];1.51484;[1.51315, 1.51652];0.349544;[0.34945, 0.349638];2.51514;[2.51326, 2.51703];0;20.2867;[20.2823, 20.2911];0.366042;[0.365904, 0.366179];0.980011;[0.978819, 0.981203];1.12127;[1.11997, 1.12258];2.12138;[2.11996, 2.12281];750006;[702303, 797709];5.2;[5.11051, 5.28949];1.87094;[1.87014, 1.87175];106880;[106837, 106924];18.35;[18.2383, 18.4617];2.19231;[2.19163, 2.19299];136859;[136815, 136902];21.2;[20.978, 21.422];1.28459;[1.28422, 1.28497];1.43107;[1.43057, 1.43157];147082;[147008, 147155];0.294268;[0.294137, 0.294399];
1.04914;0.818262;[0.817503, 0.819021];0.62967;[0.629524, 0.629815];1.44793;[1.44703, 1.44884];1.29961;[1.29844, 1.30077];0.629621;[0.629506, 0.629736];2.29969;[2.29852, 2.30086];0;0.913371;[0.912559, 0.914182];0.420143;[0.419986, 0.420299];1.33351;[1.33255, 1.33448];2.17589;[2.17437, 2.17741];0.419764;[0.419649, 0.419879];3.17679;[3.17523, 3.17836];0;17.9258;[17.9207, 17.9308];0.43982;[0.439663, 0.439977];1.73163;[1.7301, 1.73317];1.65013;[1.64882, 1.65145];2.65054;[2.6492, 2.65187];1.00967e+06;[945412, 1.07393e+06];4.6;[4.45469, 4.74531];2.29066;[2.28969, 2.29162];87313.9;[87286.1, 87341.7];19.75;[19.5065, 19.9935];2.78717;[2.78613, 2.78821];107635;[107590, 107681];24.4;[24.1384, 24.6616];1.51844;[1.51798, 1.5189];1.80437;[1.80365, 1.80509];100539;[100471, 100607];0.20091;[0.200774, 0.201046];
1.224;1.4895;[1.48721, 1.4918];0.734069;[0.733901, 0.734238];2.22357;[2.22111, 2.22604];2.0295;[2.02634, 2.03265];0.733929;[0.733816, 0.734041];3.02969;[3.02654, 3.03284];0;1.55518;[1.55311, 1.55725];0.489406;[0.489249, 0.489563];2.04459;[2.04236, 2.04682];3.17616;[3.17251, 3.17981];0.489634;[0.489513, 0.489755];4.17569;[4.17199, 4.1794];0;15.6049;[15.6, 15.6099];0.512346;[0.51219, 0.512501];3.04468;[3.04036, 3.04901];2.48836;[2.485, 2.49172];3.48829;[3.4849, 3.49167];1.27468e+06;[1.19371e+06, 1.35565e+06];5.05;[4.91747, 5.18253];2.88328;[2.88175, 2.88481];69396;[69367.5, 69424.5];19.7;[19.5646, 19.8354];3.66099;[3.65959, 3.66238];81922.8;[81884.5, 81961.1];27;[26.806, 27.194];1.96329;[1.96201, 1.96457];2.51732;[2.51555, 2.51908];63279.2;[63226.4, 63332];0.126537;[0.126445, 0.12663];
1.39886;2.98457;[2.97813, 2.99102];0.839805;[0.839542, 0.840069];3.82438;[3.81767, 3.83109];3.55567;[3.54811, 3.56322];0.839382;[0.839201, 0.839563];4.55617;[4.54858, 4.56376];0;2.81877;[2.81343, 2.8241];0.560046;[0.559824, 0.560267];3.37881;[3.37326, 3.38437];5.03661;[5.02805, 5.04518];0.559641;[0.559496, 0.559786];6.03733;[6.02865, 6.04602];0;13.2387;[13.2317, 13.2458];0.58629;[0.586068, 0.586511];5.80334;[5.7916, 5.81508];4.14807;[4.14011, 4.15604];5.14867;[5.14063, 5.1567];1.53279e+06;[1.43537e+06, 1.63021e+06];5.4;[5.2633, 5.5367];3.75534;[3.75257, 3.75812];53262.1;[53226.3, 53297.9];21.25;[21.1027, 21.3973];5.00315;[4.99961, 5.00669];59962.2;[59917.1, 60007.2];29.15;[28.9819, 29.3181];2.97905;[2.97462, 2.98348];4.13813;[4.1319, 4.14436];34239.6;[34180.7, 34298.4];0.0685688;[0.0684396, 0.068698];
1.57371;7.68648;[7.66212, 7.71083];0.945262;[0.944998, 0.945527];8.63174;[8.60712, 8.65636];8.13576;[8.1102, 8.16133];0.944771;[0.944609, 0.944933];9.13628;[9.11076, 9.16181];0;6.27918;[6.26181, 6.29654];0.629487;[0.629363, 0.629612];6.90866;[6.89118, 6.92615];9.97629;[9.94958, 10.003];0.629399;[0.629286, 0.629512];10.9764;[10.9497, 11.0032];0;10.9111;[10.9073, 10.915];0.659027;[0.658905, 0.659148];13.9657;[13.924, 14.0073];8.87166;[8.84564, 8.89768];9.87203;[9.84601, 9.89805];1.76205e+06;[1.65012e+06, 1.87398e+06];5.35;[5.24979, 5.45021];4.98393;[4.98198, 4.98589];40111.8;[40097.6, 40126];21.3;[21.1788, 21.4212];7.03175;[7.0286, 7.03491];42676.2;[42656.9, 42695.5];33.9;[33.5466, 34.2534];6.18614;[6.17211, 6.20018];9.17362;[9.15335, 9.19389];13529.6;[13503.8, 13555.4];0.0269196;[0.0268653, 0.026974];
1.5912;8.91494;[8.87064, 8.95924];0.955492;[0.955212, 0.955771];9.87043;[9.82585, 9.91501];9.33383;[9.28743, 9.38024];0.955122;[0.954957, 0.955288];10.3342;[10.2878, 10.3807];0;7.13998;[7.10846, 7.17149];0.63731;[0.63715, 0.637469];7.77729;[7.74561, 7.80896];11.2176;[11.1693, 11.2658];0.636476;[0.636333, 0.636619];12.2189;[12.1705, 12.2672];0;10.6506;[10.6455, 10.6557];0.667169;[0.667008, 0.66733];16.0549;[15.9792, 16.1307];10.0871;[10.04, 10.1343];11.0879;[11.0406, 11.1351];1.78446e+06;[1.67109e+06, 1.89784e+06];5.5;[5.37201, 5.62799];5.13936;[5.13595, 5.14278];38906.4;[38883.3, 38929.5];21.3;[21.1438, 21.4562];7.29263;[7.2878, 7.29746];41145.7;[41117.2, 41174.2];34.8;[34.4721, 35.1279];7.00602;[6.97784, 7.03419];10.4322;[10.3929, 10.4714];11822.8;[11789.4, 11856.1];0.023568;[0.0235068, 0.0236293];
1.60869;10.0606;[10.0036, 10.1175];0.964456;[0.964194, 0.964718];11.025;[10.9678, 11.0822];10.4267;[10.3683, 10.4852];0.964862;[0.964713, 0.965011];11.4263;[11.3678, 11.4848];0;7.93112;[7.8915, 7.97073];0.643144;[0.642918, 0.64337];8.57426;[8.53442, 8.6141];12.3334;[12.2734, 12.3935];0.643028;[0.642864, 0.643193];13.3336;[13.2734, 13.3938];0;10.4549;[10.4476, 10.4622];0.673283;[0.673056, 0.673511];17.9917;[17.8952, 18.0882];11.1893;[11.1301, 11.2484];12.1891;[12.1299, 12.2483];1.80228e+06;[1.68793e+06, 1.91663e+06];5;[4.86066, 5.13934];5.2723;[5.26803, 5.27658];37928.2;[37901.1, 37955.2];21;[20.8029, 21.1971];7.51591;[7.51024, 7.52157];39922.2;[39890.5, 39953.9];33.55;[33.3151, 33.7849];7.7819;[7.74694, 7.81687];11.626;[11.5757, 11.6764];10462.6;[10427.8, 10497.4];0.0210162;[0.0209442, 0.0210881];
1.62617;11.7775;[11.7053, 11.8497];0.975196;[0.974893, 0.9755];12.7527;[12.6802, 12.8252];12.0721;[11.9985, 12.1457];0.975583;[0.975403, 0.975763];13.0717;[12.9981, 13.1454];0;9.10975;[9.06001, 9.15948];0.650688;[0.650443, 0.650933];9.76044;[9.71046, 9.81041];14.0074;[13.9324, 14.0824];0.650324;[0.650197, 0.650452];15.0079;[14.9327, 15.0831];0;10.2028;[10.1949, 10.2106];0.681163;[0.680919, 0.681408];20.8873;[20.7654, 21.0091];12.8462;[12.772, 12.9203];13.8462;[13.7719, 13.9204];1.82063e+06;[1.70493e+06, 1.93632e+06];5.4;[5.27248, 5.52752];5.44051;[5.43598, 5.44505];36760.7;[36731.9, 36789.5];21.3;[21.1153, 21.4847];7.80811;[7.80122, 7.81501];38425.4;[38390.8, 38460.1];35.9;[35.4778, 36.3222];8.95364;[8.90748, 8.99979];13.4395;[13.3717, 13.5074];8832.35;[8794.65, 8870.05];0.0177375;[0.01766, 0.0178149];
1.64366;14.1285;[14.0333, 14.2237];0.986396;[0.986163, 0.98663];15.1149;[15.0195, 15.2104];14.3279;[14.2311, 14.4246];0.986093;[0.985924, 0.986262];15.3282;[15.2314, 15.425];0;10.7243;[10.6578, 10.7908];0.657323;[0.657087, 0.65756];11.3816;[11.3149, 11.4484];16.3143;[16.2147, 16.4139];0.657328;[0.657184, 0.657471];17.3143;[17.2145, 17.4141];0;9.97926;[9.97167, 9.98684];0.688148;[0.687911, 0.688385];24.8528;[24.6911, 25.0145];15.1224;[15.0245, 15.2203];16.1226;[16.0245, 16.2206];1.84006e+06;[1.72314e+06, 1.95697e+06];5.2;[5.03439, 5.36561];5.59686;[5.59194, 5.60179];35733.7;[35705.7, 35761.7];21.5;[21.3014, 21.6986];8.08446;[8.07723, 8.09168];37111.8;[37077.1, 37146.5];35.75;[35.4019, 36.0981];10.5237;[10.4607, 10.5867];15.8262;[15.735, 15.9174];7424.55;[7381.66, 7467.44];0.0148486;[0.0147706, 0.0149266];
1.66114;17.0225;[16.9246, 17.1204];0.99567;[0.995409, 0.995932];18.0181;[17.92, 18.1163];17.0816;[16.9832, 17.1799];0.996542;[0.996376, 0.996709];18.0807;[17.9823, 18.1791];0;12.6705;[12.6032, 12.7377];0.663714;[0.663502, 0.663926];13.3342;[13.2667, 13.4016];19.089;[18.9898, 19.1882];0.663726;[0.663581, 0.663872];20.089;[19.9897, 20.1883];0;9.76548;[9.75866, 9.7723];0.694829;[0.694616, 0.695042];29.6929;[29.5279, 29.858];17.8841;[17.7854, 17.9828];18.8836;[18.7848, 18.9823];1.85665e+06;[1.73859e+06, 1.97472e+06];5.5;[5.33847, 5.66153];5.74564;[5.74094, 5.75033];34790.4;[34763.7, 34817.2];21.85;[21.7095, 21.9905];8.34481;[8.33733, 8.35228];35966.3;[35933.2, 35999.5];35.3;[35.0907, 35.5093];12.4514;[12.3873, 12.5154];18.7699;[18.6751, 18.8648];6179.2;[6144.12, 6214.28];0.0123319;[0.0122642, 0.0123997];
1.67863;22.2653;[22.0883, 22.4424];1.00637;[1.00604, 1.00669];23.2717;[23.0944, 23.449];22.1171;[21.9425, 22.2916];1.00667;[1.00645, 1.00688];23.1168;[22.9422, 23.2913];0;16.2317;[16.1106, 16.3528];0.671461;[0.671269, 0.671653];16.9032;[16.7819, 17.0244];24.1789;[24.0005, 24.3574];0.67128;[0.671148, 0.671413];25.1792;[25.0007, 25.3577];0;9.50689;[9.50077, 9.51301];0.70291;[0.702719, 0.703101];38.497;[38.199, 38.795];22.9419;[22.7658, 23.118];23.9419;[23.7657, 24.118];1.87982e+06;[1.76052e+06, 1.99913e+06];5.25;[5.12024, 5.37976];5.93049;[5.9265, 5.93447];33730.1;[33709.5, 33750.6];21.15;[20.9749, 21.3251];8.66043;[8.65429, 8.66657];34638;[34612.7, 34663.3];36.3;[35.8906, 36.7094];15.977;[15.8625, 16.0914];24.0607;[23.8943, 24.2271];4732;[4705.35, 4758.65];0.00942543;[0.00936716, 0.0094837];
1.69611;29.516;[29.1117, 29.9203];1.01664;[1.01626, 1.01703];30.5326;[30.128, 30.9373];29.0137;[28.618, 29.4095];1.01726;[1.01701, 1.0175];30.0131;[29.6172, 30.409];0;21.0812;[20.8092, 21.3532];0.67791;[0.677682, 0.678139];21.7591;[21.4869, 22.0314];31.0945;[30.6939, 31.495];0.677952;[0.677822, 0.678082];32.0944;[31.6937, 32.4951];0;9.29023;[9.28286, 9.29759];0.70968;[0.70945, 0.709911];50.5972;[49.921, 51.2734];29.8458;[29.4482, 30.2435];30.8454;[30.4476, 31.2432];1.89303e+06;[1.77265e+06, 2.01342e+06];5.25;[5.08339, 5.41661];6.09517;[6.09022, 6.10012];32807.8;[32782.4, 32833.3];21.5;[21.3276, 21.6724];8.96334;[8.9546, 8.97209];33476.1;[33443.3, 33508.9];36.75;[36.4107, 37.0893];20.8272;[20.5629, 21.0915];31.4384;[31.0466, 31.8302];3537.45;[3501.76, 3573.14];0.00704718;[0.00697456, 0.00711979];
1.7136;46.3795;[45.5979, 47.161];1.02875;[1.02849, 1.029];47.4082;[46.6264, 48.19];45.1152;[44.3529, 45.8775];1.02807;[1.02784, 1.0283];46.1159;[45.3535, 46.8782];0;32.3628;[31.8366, 32.8889];0.684982;[0.68475, 0.685214];33.0478;[32.5214, 33.5741];47.2395;[46.4743, 48.0047];0.685009;[0.684865, 0.685153];48.2395;[47.4741, 49.0049];0;9.05183;[9.04438, 9.05928];0.71713;[0.716897, 0.717363];78.7422;[77.4347, 80.0498];45.9647;[45.2012, 46.7282];46.9651;[46.2015, 47.7287];1.91702e+06;[1.79524e+06, 2.0388e+06];5.25;[5.09866, 5.40134];6.2849;[6.28009, 6.2897];31812.6;[31790.2, 31835];21.05;[20.9175, 21.1825];9.30827;[9.29995, 9.31659];32237.7;[32208.3, 32267.1];35.35;[35.0841, 35.6159];32.0907;[31.5753, 32.6062];48.3951;[47.6318, 49.1584];2261.8;[2231.06, 2292.54];0.00453608;[0.00447584, 0.00459633];
1.73109;88.5582;[84.5611, 92.5552];1.03952;[1.03919, 1.03984];89.5977;[85.6003, 93.5951];85.2131;[81.3778, 89.0483];1.03898;[1.0388, 1.03916];86.2136;[82.3783, 90.0489];0;60.4779;[57.8064, 63.1494];0.691494;[0.691265, 0.691723];61.1694;[58.4976, 63.8411];87.3932;[83.5527, 91.2337];0.691687;[0.691539, 0.691835];88.3929;[84.5523, 92.2335];0;8.83267;[8.8253, 8.84004];0.723979;[0.723749, 0.724209];149.036;[142.367, 155.705];86.0844;[82.247, 89.9217];87.0846;[83.2471, 90.922];1.93317e+06;[1.81036e+06, 2.05597e+06];5.4;[5.23885, 5.56115];6.46102;[6.45573, 6.46632];30930.1;[30906.5, 30953.7];21.25;[21.125, 21.375];9.63601;[9.62704, 9.64497];31152.7;[31123.1, 31182.2];36.35;[36.0264, 36.6736];60.3278;[57.6663, 62.9893];90.9234;[86.9401, 94.9067];1164.15;[1133.05, 1195.25];0.00233675;[0.00227417, 0.00239933];
1.73283;106.913;[100.917, 112.909];1.03985;[1.03948, 1.04021];107.953;[101.956, 113.949];102.822;[97.0501, 108.594];1.03985;[1.03963, 1.04006];103.822;[98.0501, 109.594];0;72.738;[68.7142, 76.7617];0.692728;[0.692475, 0.69298];73.4307;[69.4067, 77.4547];104.977;[99.1959, 110.757];0.692411;[0.692218, 0.692604];105.977;[100.196, 111.758];0;8.79287;[8.78488, 8.80086];0.725223;[0.724973, 0.725472];179.651;[169.631, 189.67];103.683;[97.9077, 109.459];104.683;[98.9078, 110.459];1.93409e+06;[1.81125e+06, 2.05693e+06];5.2;[5.02034, 5.37966];6.4795;[6.47356, 6.48544];30844.9;[30820.2, 30869.6];22.55;[22.3425, 22.7575];9.66967;[9.66071, 9.67862];31040.2;[31009.8, 31070.6];36.25;[35.9143, 36.5857];72.474;[68.49, 76.4579];109.064;[103.144, 114.984];1048.2;[1017.41, 1078.99];0.0020741;[0.00201348, 0.00213473];
1.73458;111.389;[108.09, 114.689];1.04015;[1.0399, 1.04041];112.43;[109.13, 115.729];107.115;[103.939, 110.291];1.04003;[1.03984, 1.04022];108.115;[104.939, 111.291];0;75.7574;[73.5426, 77.9721];0.693065;[0.692811, 0.693319];76.4504;[74.2354, 78.6654];109.206;[106.03, 112.383];0.693434;[0.693248, 0.69362];110.206;[107.03, 113.382];0;8.78176;[8.77371, 8.78982];0.72557;[0.725318, 0.725821];187.147;[181.633, 192.661];107.952;[104.776, 111.128];108.951;[105.775, 112.127];1.93543e+06;[1.81246e+06, 2.0584e+06];5.4;[5.25893, 5.54107];6.50008;[6.49488, 6.50527];30771.8;[30751.8, 30791.8];21.05;[20.9003, 21.1997];9.69506;[9.68774, 9.70238];30943.4;[30917.2, 30969.6];37.9;[37.6395, 38.1605];75.5038;[73.3056, 77.702];113.624;[110.349, 116.9];932.8;[906.312, 959.288];0.00187367;[0.00181981, 0.00192753];
1.73633;159.416;[151.516, 167.315];1.04208;[1.04167, 1.0425];160.458;[152.558, 168.358];153.02;[145.423, 160.617];1.04191;[1.04163, 1.04219];154.02;[146.423, 161.617];0;107.9;[102.587, 113.212];0.694916;[0.694711, 0.695122];108.595;[103.282, 113.907];155.273;[147.67, 162.876];0.694585;[0.694365, 0.694806];156.273;[148.67, 163.877];0;8.72059;[8.71411, 8.72706];0.727482;[0.727279, 0.727684];267.316;[254.104, 280.527];153.921;[146.322, 161.52];154.921;[147.322, 162.521];1.93935e+06;[1.81624e+06, 2.06246e+06];5.45;[5.32696, 5.57304];6.54203;[6.53633, 6.54774];30571.8;[30550, 30593.7];21.25;[21.1069, 21.3931];9.77331;[9.76577, 9.78085];30697;[30671.3, 30722.8];35.65;[35.4182, 35.8818];107.663;[102.354, 112.973];161.709;[153.813, 169.606];683.9;[657.712, 710.088];0.0013743;[0.00132486, 0.00142374];
