Arrival Rate;T1 Queue;T1 Queue ConfInt;T1 Service;T1 Service ConfInt;T1 System;T1 System ConfInt;T1 Waiting;T1 Waiting ConfInt;T1 Throughput;T1 Throughput ConfInt;T1 RespTime;T1 RespTime ConfInt;T1 Stability Check;T32 Queue;T32 Queue ConfInt;T32 Service;T32 Service ConfInt;T32 System;T32 System ConfInt;T32 Waiting;T32 Waiting ConfInt;T32 Throughput;T32 Throughput ConfInt;T32 RespTime;T32 RespTime ConfInt;T32 Stability Check;Wasted Servers;Wasted Servers ConfInt;Utilisation;Utilisation ConfInt;Queue Total;Queue Total ConfInt;WaitTime Total;WaitTime Total ConfInt;RespTime Total;RespTime Total ConfInt;FIFO Violations;FIFO Violations ConfInt;Exe. Time;Exe. Time ConfInt;Big Sequence Lenght;Big Sequence Lenght ConfInt;Big Sequence Amount;Big Sequence Amount ConfInt;Max Big Sequence Length;Max Big Sequence Length ConfInt;Small Sequence Lenght;Small Sequence Lenght ConfInt;Small Sequence Amount;Small Sequence Amount ConfInt;Max Small Sequence Length;Max Small Sequence Length ConfInt;Nstar Big;Nstar Big ConfInt;Nstar Small;Nstar Small ConfInt;Idle Counter;Idle Counter ConfInt;Idle Prob;Idle Prob ConfInt;
0.16498;0.00752956;[0.00752072, 0.0075384];0.0989741;[0.0989449, 0.0990032];0.106504;[0.106466, 0.106542];0.0760879;[0.0760018, 0.0761741];0.0989585;[0.0989361, 0.0989808];1.07625;[1.07605, 1.07644];0;0.0117858;[0.0117738, 0.0117979];0.0659202;[0.0658981, 0.0659423];0.077706;[0.0776719, 0.0777402];0.178654;[0.178491, 0.178816];0.0659699;[0.0659532, 0.0659865];1.1779;[1.17757, 1.17823];0;29.7916;[29.7909, 29.7923];0.0690132;[0.068991, 0.0690353];0.0193154;[0.0192958, 0.0193349];0.117113;[0.117003, 0.117223];1.11691;[1.1167, 1.11712];32085.1;[30052, 34118.2];5;[4.91467, 5.08533];1.07759;[1.07751, 1.07767];185595;[185555, 185634];7.1;[6.99039, 7.20961];1.11194;[1.11186, 1.11201];269804;[269768, 269840];7.5;[7.41119, 7.58881];1.00671;[1.00669, 1.00673];1.00749;[1.00748, 1.00751];420073;[420044, 420102];0.840165;[0.840132, 0.840199];
0.32996;0.0354537;[0.0354191, 0.0354883];0.198124;[0.198064, 0.198184];0.233578;[0.233483, 0.233673];0.179066;[0.178892, 0.17924];0.197992;[0.197961, 0.198024];1.17973;[1.17944, 1.18003];0;0.0517973;[0.0517522, 0.0518423];0.131964;[0.131924, 0.132004];0.183761;[0.183676, 0.183846];0.392523;[0.392226, 0.39282];0.131959;[0.131927, 0.131992];1.39256;[1.39218, 1.39294];0;27.579;[27.5777, 27.5803];0.138155;[0.138115, 0.138195];0.0872509;[0.0871766, 0.0873252];0.264435;[0.264222, 0.264648];1.26485;[1.26455, 1.26515];123827;[115990, 131664];4.95;[4.78122, 5.11878];1.18314;[1.18302, 1.18326];169014;[168983, 169045];10.35;[10.2184, 10.4816];1.25683;[1.25671, 1.25694];238722;[238683, 238761];10.45;[10.3175, 10.5825];1.02846;[1.02841, 1.02851];1.03481;[1.03476, 1.03487];345405;[345368, 345442];0.691051;[0.690987, 0.691116];
0.49494;0.0941822;[0.0940895, 0.094275];0.296946;[0.296881, 0.297012];0.391129;[0.39097, 0.391287];0.317191;[0.316876, 0.317506];0.296927;[0.296878, 0.296976];1.31726;[1.31684, 1.31768];0;0.129079;[0.128975, 0.129183];0.197972;[0.197914, 0.19803];0.327051;[0.326889, 0.327213];0.652488;[0.65203, 0.652946];0.197824;[0.197786, 0.197862];1.65323;[1.65267, 1.6538];0;25.3679;[25.3661, 25.3698];0.207252;[0.207193, 0.207311];0.223261;[0.223079, 0.223442];0.451258;[0.450912, 0.451604];1.4516;[1.45113, 1.45206];264691;[247907, 281475];5.25;[5.12024, 5.37976];1.32229;[1.32212, 1.32247];151194;[151169, 151219];12.6;[12.519, 12.681];1.44646;[1.44621, 1.4467];207457;[207416, 207498];12.5;[12.4046, 12.5954];1.06982;[1.06974, 1.0699];1.09138;[1.09126, 1.09149];277171;[277108, 277234];0.554387;[0.554299, 0.554475];
0.65992;0.201186;[0.200982, 0.20139];0.395764;[0.395636, 0.395893];0.59695;[0.596618, 0.597282];0.508226;[0.50774, 0.508712];0.395858;[0.395779, 0.395937];1.50799;[1.50743, 1.50854];0;0.258934;[0.258709, 0.259159];0.264053;[0.263941, 0.264164];0.522987;[0.52265, 0.523324];0.981135;[0.980411, 0.98186];0.263911;[0.26384, 0.263982];1.98167;[1.98079, 1.98255];0;23.1545;[23.151, 23.1581];0.27642;[0.276309, 0.276532];0.46012;[0.459703, 0.460537];0.697391;[0.696826, 0.697957];1.69746;[1.69679, 1.69814];445820;[417522, 474117];5.2;[5.07153, 5.32847];1.50689;[1.50653, 1.50726];132725;[132693, 132757];14.9;[14.7486, 15.0514];1.69984;[1.6994, 1.70027];176487;[176436, 176538];15.9;[15.7798, 16.0202];1.14126;[1.14109, 1.14144];1.19429;[1.19409, 1.1945];215485;[215409, 215561];0.431028;[0.430913, 0.431142];
0.8249;0.384328;[0.383916, 0.38474];0.494649;[0.494535, 0.494763];0.878977;[0.878451, 0.879503];0.77658;[0.775769, 0.777392];0.494897;[0.49482, 0.494975];1.77608;[1.77518, 1.77698];0;0.465789;[0.465227, 0.466351];0.329864;[0.329773, 0.329956];0.795653;[0.795, 0.796307];1.41276;[1.41121, 1.41432];0.329698;[0.329618, 0.329777];2.41327;[2.41165, 2.4149];0;20.9497;[20.9467, 20.9526];0.345322;[0.34523, 0.345414];0.850117;[0.849157, 0.851077];1.03095;[1.02984, 1.03205];2.03085;[2.02966, 2.03203];651012;[609647, 692377];4.7;[4.59491, 4.80509];1.74844;[1.74791, 1.74896];114340;[114308, 114371];16.35;[16.2095, 16.4905];2.04263;[2.04217, 2.04308];146912;[146879, 146945];18.65;[18.4615, 18.8385];1.26348;[1.26311, 1.26384];1.37418;[1.37385, 1.37451];161113;[161055, 161172];0.322099;[0.321974, 0.322223];
0.98988;0.708012;[0.706925, 0.709099];0.59365;[0.593512, 0.593787];1.30166;[1.30044, 1.30289];1.19284;[1.19101, 1.19466];0.593554;[0.59348, 0.593627];2.193;[2.19118, 2.19481];0;0.801569;[0.800488, 0.802649];0.395944;[0.395795, 0.396093];1.19751;[1.19628, 1.19874];2.02478;[2.02246, 2.02711];0.395872;[0.395755, 0.395989];3.02496;[3.0225, 3.02743];0;18.7361;[18.7314, 18.7409];0.414496;[0.414347, 0.414645];1.50958;[1.50743, 1.51173];1.5257;[1.52366, 1.52774];2.52587;[2.52378, 2.52796];879023;[823118, 934928];5.45;[5.30861, 5.59139];2.07729;[2.0764, 2.07817];96304.6;[96273.4, 96335.9];17.9;[17.7446, 18.0554];2.51933;[2.51869, 2.51997];119059;[119023, 119096];21.35;[21.1714, 21.5286];1.481;[1.48035, 1.48166];1.69962;[1.69886, 1.70039];113909;[113849, 113969];0.227791;[0.227643, 0.22794];
1.15486;1.31674;[1.31486, 1.31862];0.692555;[0.69232, 0.692791];2.00929;[2.00718, 2.01141];1.90126;[1.89859, 1.90393];0.692559;[0.69243, 0.692687];2.90126;[2.89842, 2.90409];0;1.36593;[1.36415, 1.3677];0.461729;[0.461572, 0.461885];1.82765;[1.82572, 1.82959];2.95754;[2.95408, 2.96101];0.46184;[0.461732, 0.461947];3.9573;[3.95376, 3.96085];0;16.5321;[16.5271, 16.5372];0.483371;[0.483214, 0.483528];2.68266;[2.67904, 2.68628];2.32385;[2.32087, 2.32682];3.32375;[3.32063, 3.32686];1.11202e+06;[1.0414e+06, 1.18264e+06];5.35;[5.18559, 5.51441];2.51589;[2.5148, 2.51697];79509.2;[79475.3, 79543.2];18.65;[18.5139, 18.7861];3.18719;[3.18578, 3.18859];94117.4;[94073.4, 94161.3];24.45;[24.2177, 24.6823];1.89362;[1.89237, 1.89487];2.32736;[2.32568, 2.32903];74527;[74466.4, 74587.6];0.148973;[0.148854, 0.149091];
1.31984;2.68975;[2.68276, 2.69675];0.791412;[0.791234, 0.791589];3.48117;[3.474, 3.48834];3.39898;[3.39035, 3.40761];0.791333;[0.791201, 0.791464];4.39908;[4.39041, 4.40774];0;2.48451;[2.47871, 2.49031];0.528238;[0.528005, 0.52847];3.01275;[3.00672, 3.01878];4.70503;[4.69507, 4.71499];0.528035;[0.527895, 0.528175];5.70541;[5.69529, 5.71553];0;14.305;[14.2975, 14.3125];0.552969;[0.552735, 0.553204];5.17427;[5.16149, 5.18705];3.92169;[3.91249, 3.93089];4.9219;[4.91261, 4.93118];1.33938e+06;[1.25424e+06, 1.42452e+06];5.05;[4.91296, 5.18704];3.11814;[3.11594, 3.12033];64177.7;[64138.5, 64216.9];18.25;[18.0728, 18.4272];4.14431;[4.14172, 4.14691];72364.4;[72314.7, 72414];27;[26.819, 27.181];2.82252;[2.81793, 2.8271];3.75365;[3.74746, 3.75984];42526.4;[42457.3, 42595.5];0.0849196;[0.084776, 0.0850632];
1.48482;7.24035;[7.2102, 7.2705];0.89131;[0.891041, 0.891579];8.13166;[8.10125, 8.16208];8.12662;[8.09359, 8.15965];0.890915;[0.890707, 0.891122];9.12706;[9.09398, 9.16015];0;5.76861;[5.74728, 5.78994];0.594038;[0.593778, 0.594299];6.36265;[6.34105, 6.38424];9.71446;[9.67999, 9.74892];0.593792;[0.593618, 0.593967];10.7149;[10.6802, 10.7495];0;12.0995;[12.091, 12.1079];0.621892;[0.621627, 0.622157];13.009;[12.9575, 13.0604];8.76165;[8.72805, 8.79525];9.76208;[9.72838, 9.79579];1.55222e+06;[1.45366e+06, 1.65078e+06];5.05;[4.92213, 5.17787];3.93167;[3.92845, 3.93489];50863.3;[50825.9, 50900.8];18.8;[18.6539, 18.9461];5.53552;[5.53078, 5.54025];54203.9;[54155.9, 54252];30;[29.7065, 30.2935];5.87948;[5.85935, 5.89962];8.42677;[8.39781, 8.45574];17843;[17769.9, 17916];0.035652;[0.0355, 0.0358039];
1.50132;8.16549;[8.139, 8.19197];0.900862;[0.900679, 0.901045];9.06635;[9.03968, 9.09301];9.06869;[9.03926, 9.09811];0.900406;[0.900229, 0.900583];10.0692;[10.0397, 10.0987];0;6.41834;[6.39941, 6.43727];0.600735;[0.600561, 0.600909];7.01907;[6.99997, 7.03818];10.6867;[10.6559, 10.7176];0.600581;[0.600441, 0.600721];11.687;[11.6561, 11.7179];0;11.8756;[11.87, 11.8812];0.628887;[0.628712, 0.629061];14.5838;[14.5385, 14.6291];9.71611;[9.68613, 9.74609];10.7165;[10.6865, 10.7466];1.56989e+06;[1.47017e+06, 1.66961e+06];5.35;[5.22795, 5.47205];4.02905;[4.02656, 4.03155];49655.5;[49630.3, 49680.7];19.1;[18.9095, 19.2905];5.70082;[5.69763, 5.70401];52614.3;[52581.5, 52647.1];29.35;[29.1431, 29.5569];6.51676;[6.49994, 6.53358];9.38953;[9.36576, 9.41331];15773.7;[15727.2, 15820.2];0.0315069;[0.0314102, 0.0316036];
